Date,IP,URL,HTTP Code,Agent
06/Nov/2024:19:26:38,192.168.27.22,/home,302,desktop
06/Nov/2024:22:13:17,192.168.132.144,/checkout,302,desktop
07/Nov/2024:09:54:43,192.168.216.92,/products/item,500,móvil
06/Nov/2024:21:39:42,192.168.225.62,/cart,200,móvil
06/Nov/2024:23:43:18,192.168.42.39,/checkout,500,móvil
06/Nov/2024:20:55:49,192.168.44.73,/products/item,302,otros
07/Nov/2024:15:25:58,192.168.205.13,/products/item,302,móvil
07/Nov/2024:01:49:09,192.168.10.86,/home,200,móvil
07/Nov/2024:00:48:02,192.168.137.12,/about,200,desktop
07/Nov/2024:01:49:40,192.168.190.82,/checkout,302,móvil
07/Nov/2024:12:51:04,192.168.242.187,/home,404,desktop
06/Nov/2024:20:49:49,192.168.247.205,/checkout,302,otros
07/Nov/2024:16:40:53,192.168.73.178,/about,500,desktop
06/Nov/2024:23:57:04,192.168.116.154,/checkout,404,móvil
07/Nov/2024:01:06:57,192.168.158.65,/checkout,404,desktop
07/Nov/2024:00:02:47,192.168.225.202,/products,200,desktop
07/Nov/2024:09:07:36,192.168.73.107,/products/item,404,desktop
07/Nov/2024:00:16:29,192.168.147.115,/checkout,200,móvil
07/Nov/2024:18:03:44,192.168.205.196,/products,200,móvil
06/Nov/2024:20:30:59,192.168.125.208,/products,404,otros
06/Nov/2024:23:41:13,192.168.99.74,/checkout,200,móvil
07/Nov/2024:14:29:18,192.168.251.42,/home,302,otros
07/Nov/2024:11:54:20,192.168.53.219,/checkout,302,desktop
06/Nov/2024:23:37:40,192.168.238.185,/checkout,302,móvil
06/Nov/2024:21:23:39,192.168.51.44,/checkout,404,otros
06/Nov/2024:21:38:04,192.168.230.179,/products/item,404,móvil
07/Nov/2024:03:30:02,192.168.125.96,/about,302,móvil
06/Nov/2024:22:08:51,192.168.233.124,/contact,404,móvil
06/Nov/2024:23:58:47,192.168.131.223,/products/item,500,otros
07/Nov/2024:01:34:05,192.168.152.202,/products/item,404,móvil
07/Nov/2024:14:19:39,192.168.123.159,/cart,404,otros
07/Nov/2024:01:51:26,192.168.45.126,/about,200,desktop
07/Nov/2024:15:56:21,192.168.225.202,/cart,200,otros
07/Nov/2024:14:43:38,192.168.85.12,/checkout,302,desktop
07/Nov/2024:12:29:14,192.168.171.203,/about,200,móvil
07/Nov/2024:14:16:42,192.168.100.101,/contact,404,otros
06/Nov/2024:23:38:16,192.168.73.15,/about,500,móvil
07/Nov/2024:16:47:43,192.168.83.162,/home,200,desktop
07/Nov/2024:15:24:44,192.168.39.253,/contact,404,móvil
07/Nov/2024:09:24:43,192.168.35.174,/contact,200,móvil
06/Nov/2024:18:34:37,192.168.68.168,/contact,302,móvil
07/Nov/2024:14:10:10,192.168.53.219,/products/item,302,otros
06/Nov/2024:22:50:38,192.168.171.164,/products,200,desktop
06/Nov/2024:21:46:47,192.168.192.54,/checkout,404,otros
07/Nov/2024:04:37:31,192.168.159.48,/cart,302,desktop
06/Nov/2024:20:20:27,192.168.67.222,/home,302,desktop
07/Nov/2024:01:15:42,192.168.28.107,/checkout,200,móvil
07/Nov/2024:00:03:49,192.168.147.149,/products,404,móvil
07/Nov/2024:03:09:51,192.168.46.121,/products/item,500,otros
07/Nov/2024:15:52:46,192.168.7.11,/products/item,404,desktop
07/Nov/2024:10:01:21,192.168.147.35,/about,200,otros
07/Nov/2024:09:09:58,192.168.65.200,/products,302,desktop
06/Nov/2024:20:11:27,192.168.197.78,/home,500,desktop
07/Nov/2024:12:05:39,192.168.1.72,/products,404,desktop
07/Nov/2024:07:14:18,192.168.230.198,/contact,200,otros
06/Nov/2024:19:54:22,192.168.135.139,/home,302,desktop
07/Nov/2024:06:54:28,192.168.176.59,/home,404,otros
07/Nov/2024:12:59:32,192.168.183.175,/about,200,móvil
07/Nov/2024:15:20:05,192.168.193.73,/about,404,otros
06/Nov/2024:20:50:45,192.168.73.15,/products,404,otros
07/Nov/2024:14:00:56,192.168.238.85,/products/item,500,móvil
06/Nov/2024:18:55:19,192.168.167.84,/cart,302,móvil
07/Nov/2024:10:45:16,192.168.116.154,/products,200,desktop
07/Nov/2024:13:11:20,192.168.157.73,/about,200,desktop
07/Nov/2024:08:46:19,192.168.122.137,/products,500,móvil
07/Nov/2024:13:50:24,192.168.6.244,/checkout,200,desktop
07/Nov/2024:08:48:40,192.168.161.30,/home,500,desktop
07/Nov/2024:11:33:25,192.168.29.162,/products/item,404,otros
07/Nov/2024:01:44:40,192.168.95.53,/products/item,200,otros
07/Nov/2024:16:47:45,192.168.21.182,/contact,302,desktop
06/Nov/2024:21:40:56,192.168.108.59,/products/item,500,desktop
07/Nov/2024:16:37:35,192.168.51.15,/home,404,móvil
07/Nov/2024:09:09:14,192.168.53.215,/products/item,302,desktop
07/Nov/2024:12:20:53,192.168.152.202,/home,200,móvil
07/Nov/2024:09:29:31,192.168.170.183,/cart,404,desktop
06/Nov/2024:21:39:52,192.168.111.80,/about,200,desktop
07/Nov/2024:11:37:28,192.168.247.255,/products,404,desktop
07/Nov/2024:02:45:24,192.168.170.183,/checkout,302,desktop
06/Nov/2024:22:28:32,192.168.251.22,/cart,200,móvil
07/Nov/2024:06:56:00,192.168.167.207,/about,302,móvil
07/Nov/2024:11:41:27,192.168.101.230,/checkout,404,móvil
07/Nov/2024:01:36:06,192.168.33.116,/contact,500,móvil
06/Nov/2024:22:01:32,192.168.253.192,/cart,302,otros
06/Nov/2024:18:43:46,192.168.192.209,/products/item,404,otros
07/Nov/2024:07:06:36,192.168.246.238,/home,404,otros
07/Nov/2024:17:32:21,192.168.206.112,/products/item,404,otros
07/Nov/2024:01:11:27,192.168.25.191,/home,302,otros
07/Nov/2024:00:16:11,192.168.135.139,/about,500,otros
07/Nov/2024:02:44:35,192.168.26.115,/cart,500,móvil
07/Nov/2024:03:55:35,192.168.192.84,/products/item,302,otros
07/Nov/2024:14:38:54,192.168.194.62,/cart,404,otros
06/Nov/2024:21:52:58,192.168.157.73,/contact,302,otros
07/Nov/2024:09:29:18,192.168.126.227,/contact,200,móvil
07/Nov/2024:15:38:13,192.168.45.126,/products,302,otros
07/Nov/2024:07:44:44,192.168.253.192,/contact,302,desktop
07/Nov/2024:05:56:34,192.168.26.204,/products/item,500,móvil
06/Nov/2024:20:32:44,192.168.187.247,/contact,200,móvil
06/Nov/2024:19:01:04,192.168.51.113,/about,500,móvil
07/Nov/2024:02:18:33,192.168.6.244,/checkout,500,móvil
06/Nov/2024:20:47:30,192.168.29.162,/checkout,404,móvil
06/Nov/2024:21:54:34,192.168.139.121,/cart,302,móvil
07/Nov/2024:15:27:57,192.168.71.251,/home,200,móvil
07/Nov/2024:00:24:29,192.168.128.159,/home,500,móvil
06/Nov/2024:20:05:31,192.168.167.84,/products/item,302,móvil
07/Nov/2024:17:45:38,192.168.9.28,/about,404,desktop
06/Nov/2024:18:53:35,192.168.127.186,/home,200,desktop
07/Nov/2024:16:02:00,192.168.142.152,/home,302,otros
07/Nov/2024:06:10:20,192.168.48.66,/about,500,desktop
07/Nov/2024:04:51:51,192.168.156.90,/cart,200,móvil
07/Nov/2024:02:29:35,192.168.53.219,/cart,500,móvil
07/Nov/2024:15:53:06,192.168.236.207,/products,500,otros
07/Nov/2024:07:53:34,192.168.24.214,/home,200,otros
06/Nov/2024:19:07:52,192.168.1.241,/home,404,otros
06/Nov/2024:22:44:44,192.168.115.210,/cart,404,móvil
07/Nov/2024:12:04:26,192.168.184.85,/checkout,200,otros
07/Nov/2024:09:35:06,192.168.85.44,/contact,302,desktop
07/Nov/2024:04:07:39,192.168.107.32,/about,404,otros
07/Nov/2024:06:40:29,192.168.83.110,/about,200,desktop
06/Nov/2024:18:44:03,192.168.199.181,/cart,404,desktop
06/Nov/2024:22:05:56,192.168.37.204,/cart,500,móvil
06/Nov/2024:18:58:51,192.168.19.131,/products,404,otros
07/Nov/2024:01:38:47,192.168.108.59,/products/item,500,desktop
06/Nov/2024:18:46:42,192.168.107.194,/cart,302,móvil
07/Nov/2024:17:52:29,192.168.73.46,/products/item,500,móvil
07/Nov/2024:13:24:47,192.168.94.240,/products,500,otros
07/Nov/2024:00:05:52,192.168.32.136,/contact,302,desktop
07/Nov/2024:06:55:50,192.168.173.90,/about,404,desktop
07/Nov/2024:13:38:32,192.168.164.168,/about,200,móvil
07/Nov/2024:01:24:09,192.168.35.174,/home,302,otros
07/Nov/2024:09:53:20,192.168.253.102,/home,200,otros
07/Nov/2024:06:04:53,192.168.154.56,/home,302,otros
07/Nov/2024:08:10:48,192.168.209.0,/cart,302,otros
06/Nov/2024:21:31:15,192.168.185.227,/products/item,404,desktop
07/Nov/2024:05:39:47,192.168.238.87,/products,500,móvil
07/Nov/2024:11:48:09,192.168.51.15,/about,200,desktop
07/Nov/2024:09:59:29,192.168.247.205,/cart,404,otros
07/Nov/2024:18:14:28,192.168.203.159,/home,500,desktop
06/Nov/2024:20:30:12,192.168.174.202,/products/item,302,otros
06/Nov/2024:19:24:32,192.168.107.194,/about,404,móvil
06/Nov/2024:19:22:28,192.168.167.84,/about,404,desktop
07/Nov/2024:12:41:51,192.168.35.177,/contact,500,móvil
07/Nov/2024:04:37:51,192.168.205.196,/checkout,302,otros
06/Nov/2024:19:43:24,192.168.73.178,/checkout,302,desktop
07/Nov/2024:01:02:59,192.168.250.110,/products,500,móvil
07/Nov/2024:15:01:37,192.168.145.214,/home,302,otros
07/Nov/2024:10:32:58,192.168.242.240,/home,200,desktop
07/Nov/2024:06:23:02,192.168.88.5,/checkout,404,móvil
07/Nov/2024:06:05:19,192.168.154.56,/products/item,404,móvil
07/Nov/2024:13:04:58,192.168.200.220,/products,302,desktop
06/Nov/2024:18:27:18,192.168.175.40,/home,404,otros
07/Nov/2024:12:17:17,192.168.20.177,/contact,200,otros
07/Nov/2024:00:51:40,192.168.6.48,/checkout,302,móvil
07/Nov/2024:06:37:37,192.168.211.27,/about,302,otros
07/Nov/2024:00:56:04,192.168.207.14,/contact,302,móvil
07/Nov/2024:14:49:47,192.168.207.14,/cart,200,móvil
07/Nov/2024:15:10:04,192.168.26.115,/home,200,móvil
07/Nov/2024:05:00:31,192.168.150.207,/contact,200,desktop
07/Nov/2024:16:38:26,192.168.22.203,/about,500,desktop
06/Nov/2024:22:40:39,192.168.105.173,/products/item,500,otros
07/Nov/2024:11:07:57,192.168.75.24,/home,302,otros
06/Nov/2024:20:45:17,192.168.191.152,/products,200,móvil
06/Nov/2024:18:19:23,192.168.39.183,/contact,500,móvil
07/Nov/2024:02:59:27,192.168.166.87,/products,200,desktop
06/Nov/2024:19:40:35,192.168.98.162,/cart,200,otros
07/Nov/2024:02:02:24,192.168.64.238,/products,200,desktop
07/Nov/2024:04:40:47,192.168.147.115,/products,500,móvil
07/Nov/2024:05:01:14,192.168.165.157,/products,302,móvil
07/Nov/2024:01:40:19,192.168.230.179,/checkout,302,móvil
07/Nov/2024:09:09:38,192.168.118.230,/checkout,200,móvil
07/Nov/2024:15:19:51,192.168.192.84,/products,404,móvil
07/Nov/2024:00:04:48,192.168.91.252,/checkout,500,otros
07/Nov/2024:13:41:02,192.168.184.58,/checkout,404,desktop
06/Nov/2024:23:59:54,192.168.251.77,/products,404,desktop
07/Nov/2024:00:18:51,192.168.83.110,/home,500,otros
06/Nov/2024:18:48:42,192.168.108.59,/checkout,302,otros
07/Nov/2024:07:59:50,192.168.239.0,/checkout,200,móvil
07/Nov/2024:17:53:52,192.168.212.239,/cart,404,móvil
06/Nov/2024:19:39:50,192.168.253.158,/home,500,desktop
07/Nov/2024:08:02:18,192.168.35.177,/products,500,móvil
06/Nov/2024:23:45:36,192.168.98.162,/checkout,500,otros
07/Nov/2024:10:28:39,192.168.65.179,/cart,404,móvil
07/Nov/2024:13:42:24,192.168.83.110,/contact,500,otros
07/Nov/2024:17:46:46,192.168.17.31,/about,500,desktop
06/Nov/2024:22:09:28,192.168.183.175,/products/item,404,otros
07/Nov/2024:10:29:15,192.168.252.144,/checkout,302,otros
06/Nov/2024:21:52:05,192.168.73.178,/about,500,móvil
07/Nov/2024:00:23:23,192.168.202.0,/about,500,otros
07/Nov/2024:15:54:26,192.168.221.243,/checkout,404,desktop
06/Nov/2024:23:37:32,192.168.192.174,/products/item,404,desktop
07/Nov/2024:16:51:16,192.168.116.154,/about,500,móvil
07/Nov/2024:09:17:07,192.168.108.114,/products,404,otros
07/Nov/2024:04:21:22,192.168.196.82,/products/item,200,otros
07/Nov/2024:12:50:16,192.168.83.162,/about,200,desktop
07/Nov/2024:13:28:13,192.168.242.240,/checkout,200,desktop
06/Nov/2024:22:09:27,192.168.91.4,/home,302,móvil
06/Nov/2024:19:19:54,192.168.159.40,/products/item,302,desktop
07/Nov/2024:01:38:13,192.168.66.156,/checkout,200,móvil
07/Nov/2024:06:22:56,192.168.83.237,/about,200,otros
07/Nov/2024:05:39:43,192.168.12.204,/contact,404,móvil
07/Nov/2024:04:11:42,192.168.19.103,/about,302,otros
06/Nov/2024:22:43:03,192.168.216.39,/home,302,móvil
07/Nov/2024:17:44:52,192.168.237.76,/contact,500,móvil
07/Nov/2024:06:05:29,192.168.237.115,/home,200,desktop
06/Nov/2024:18:41:50,192.168.199.73,/about,302,otros
06/Nov/2024:21:33:02,192.168.7.11,/products,200,otros
07/Nov/2024:16:57:01,192.168.64.238,/home,302,desktop
07/Nov/2024:12:05:44,192.168.19.166,/about,500,otros
06/Nov/2024:19:40:05,192.168.83.162,/checkout,404,móvil
07/Nov/2024:10:51:53,192.168.53.215,/products,404,móvil
06/Nov/2024:21:31:02,192.168.212.155,/products/item,200,desktop
06/Nov/2024:21:39:20,192.168.198.231,/contact,500,desktop
06/Nov/2024:22:13:23,192.168.130.6,/home,404,móvil
07/Nov/2024:02:34:59,192.168.178.128,/cart,500,desktop
06/Nov/2024:18:58:17,192.168.44.174,/cart,302,desktop
07/Nov/2024:01:41:10,192.168.68.168,/contact,500,otros
06/Nov/2024:22:04:43,192.168.65.6,/checkout,302,móvil
06/Nov/2024:19:26:55,192.168.171.164,/products,500,desktop
07/Nov/2024:12:13:33,192.168.123.95,/checkout,404,otros
06/Nov/2024:21:32:55,192.168.251.42,/checkout,302,desktop
07/Nov/2024:13:55:35,192.168.122.21,/about,404,desktop
07/Nov/2024:13:29:42,192.168.193.110,/home,302,otros
07/Nov/2024:02:10:00,192.168.85.12,/contact,200,otros
07/Nov/2024:10:43:29,192.168.42.39,/about,200,móvil
07/Nov/2024:09:45:44,192.168.164.168,/products,302,desktop
07/Nov/2024:05:03:20,192.168.164.228,/contact,302,desktop
07/Nov/2024:14:22:41,192.168.197.205,/home,302,otros
07/Nov/2024:10:52:58,192.168.201.63,/checkout,200,móvil
06/Nov/2024:22:09:14,192.168.167.207,/checkout,500,móvil
07/Nov/2024:03:45:21,192.168.21.182,/cart,200,desktop
07/Nov/2024:01:50:51,192.168.75.24,/about,302,desktop
07/Nov/2024:12:58:39,192.168.87.157,/products,500,desktop
07/Nov/2024:17:59:27,192.168.191.152,/products,404,móvil
07/Nov/2024:01:36:32,192.168.167.207,/checkout,200,móvil
06/Nov/2024:20:04:56,192.168.124.130,/contact,302,desktop
07/Nov/2024:16:01:40,192.168.26.115,/about,200,otros
07/Nov/2024:13:18:38,192.168.77.113,/home,200,móvil
07/Nov/2024:11:54:40,192.168.22.211,/products/item,404,móvil
07/Nov/2024:03:13:14,192.168.91.104,/contact,500,móvil
06/Nov/2024:23:17:06,192.168.128.159,/home,200,otros
07/Nov/2024:17:06:32,192.168.237.115,/cart,500,móvil
07/Nov/2024:08:09:34,192.168.174.202,/about,500,desktop
07/Nov/2024:06:39:10,192.168.209.0,/cart,302,móvil
07/Nov/2024:11:19:09,192.168.212.239,/products/item,500,móvil
07/Nov/2024:05:43:14,192.168.80.87,/home,500,desktop
07/Nov/2024:01:13:40,192.168.231.8,/checkout,404,otros
07/Nov/2024:01:14:23,192.168.160.85,/contact,200,desktop
07/Nov/2024:04:24:28,192.168.253.102,/cart,302,móvil
06/Nov/2024:23:20:07,192.168.219.204,/products/item,302,móvil
07/Nov/2024:08:39:23,192.168.4.76,/products/item,500,desktop
06/Nov/2024:18:24:39,192.168.191.179,/about,200,desktop
06/Nov/2024:21:05:57,192.168.23.53,/products,302,desktop
07/Nov/2024:18:12:30,192.168.89.91,/checkout,404,desktop
06/Nov/2024:18:22:16,192.168.73.46,/home,302,móvil
07/Nov/2024:12:55:23,192.168.230.206,/home,200,desktop
06/Nov/2024:21:37:19,192.168.80.87,/products,302,desktop
07/Nov/2024:08:36:58,192.168.164.254,/home,302,móvil
07/Nov/2024:03:48:56,192.168.23.53,/products/item,404,otros
06/Nov/2024:22:13:45,192.168.216.92,/contact,500,móvil
07/Nov/2024:02:03:21,192.168.212.80,/contact,500,móvil
07/Nov/2024:15:54:05,192.168.244.173,/home,404,desktop
06/Nov/2024:23:26:57,192.168.71.47,/checkout,500,móvil
06/Nov/2024:21:03:58,192.168.126.177,/about,404,móvil
07/Nov/2024:02:07:59,192.168.251.190,/contact,302,móvil
07/Nov/2024:12:42:11,192.168.27.22,/checkout,404,móvil
07/Nov/2024:07:03:24,192.168.67.213,/checkout,404,desktop
07/Nov/2024:09:32:17,192.168.194.62,/contact,200,otros
06/Nov/2024:19:06:46,192.168.191.179,/about,404,desktop
07/Nov/2024:15:27:02,192.168.27.52,/cart,302,otros
06/Nov/2024:22:07:21,192.168.106.67,/home,404,móvil
07/Nov/2024:02:30:42,192.168.57.154,/products/item,200,desktop
07/Nov/2024:04:46:26,192.168.133.57,/checkout,200,otros
07/Nov/2024:00:03:46,192.168.73.178,/about,500,otros
07/Nov/2024:05:24:11,192.168.92.234,/cart,404,otros
07/Nov/2024:00:57:32,192.168.105.173,/cart,302,otros
07/Nov/2024:07:09:45,192.168.122.229,/about,302,móvil
07/Nov/2024:02:31:22,192.168.94.240,/contact,200,desktop
06/Nov/2024:18:21:40,192.168.138.254,/home,200,desktop
07/Nov/2024:04:42:08,192.168.149.101,/about,302,otros
06/Nov/2024:22:18:17,192.168.120.102,/contact,404,desktop
07/Nov/2024:03:35:02,192.168.57.141,/products/item,200,móvil
07/Nov/2024:07:04:51,192.168.127.153,/checkout,404,desktop
07/Nov/2024:14:45:23,192.168.24.193,/checkout,404,desktop
07/Nov/2024:14:10:35,192.168.46.111,/products/item,200,otros
07/Nov/2024:06:53:41,192.168.225.143,/home,200,desktop
07/Nov/2024:01:25:04,192.168.222.2,/contact,200,móvil
06/Nov/2024:18:46:57,192.168.188.105,/contact,200,otros
07/Nov/2024:11:49:05,192.168.33.254,/products/item,404,desktop
07/Nov/2024:09:29:07,192.168.57.141,/contact,302,desktop
07/Nov/2024:13:29:03,192.168.123.149,/home,200,desktop
06/Nov/2024:23:24:22,192.168.95.53,/home,500,desktop
07/Nov/2024:00:48:16,192.168.97.149,/checkout,404,otros
06/Nov/2024:19:38:31,192.168.44.73,/products,302,otros
07/Nov/2024:02:33:05,192.168.87.157,/cart,302,otros
07/Nov/2024:10:18:59,192.168.194.62,/checkout,404,desktop
06/Nov/2024:22:20:45,192.168.235.19,/checkout,500,móvil
07/Nov/2024:08:26:41,192.168.245.193,/cart,404,móvil
07/Nov/2024:17:44:14,192.168.122.21,/checkout,302,móvil
07/Nov/2024:03:36:22,192.168.230.179,/contact,200,otros
06/Nov/2024:21:30:23,192.168.251.190,/contact,200,otros
07/Nov/2024:12:26:12,192.168.235.70,/products,404,desktop
07/Nov/2024:12:31:49,192.168.139.49,/about,302,otros
07/Nov/2024:15:14:58,192.168.39.196,/checkout,302,otros
07/Nov/2024:06:17:19,192.168.108.59,/products,200,móvil
07/Nov/2024:03:27:15,192.168.205.196,/home,500,desktop
07/Nov/2024:09:51:55,192.168.212.239,/cart,404,otros
07/Nov/2024:06:19:28,192.168.237.115,/home,500,desktop
07/Nov/2024:09:21:34,192.168.7.11,/checkout,500,otros
07/Nov/2024:13:56:48,192.168.254.199,/about,500,móvil
07/Nov/2024:07:00:26,192.168.245.193,/checkout,200,desktop
07/Nov/2024:07:12:25,192.168.23.53,/checkout,200,otros
06/Nov/2024:23:57:21,192.168.199.208,/home,404,móvil
06/Nov/2024:23:42:51,192.168.81.139,/products,302,móvil
06/Nov/2024:22:52:27,192.168.32.136,/about,302,móvil
07/Nov/2024:06:13:39,192.168.121.78,/checkout,302,otros
06/Nov/2024:22:18:29,192.168.164.24,/products/item,404,otros
06/Nov/2024:23:41:46,192.168.247.205,/products,500,móvil
07/Nov/2024:15:28:28,192.168.100.101,/contact,200,móvil
07/Nov/2024:00:21:39,192.168.183.147,/cart,500,otros
07/Nov/2024:14:44:01,192.168.216.39,/products,500,desktop
07/Nov/2024:04:25:42,192.168.94.240,/checkout,200,móvil
07/Nov/2024:08:53:25,192.168.53.219,/products/item,200,móvil
07/Nov/2024:15:24:59,192.168.63.88,/home,302,desktop
07/Nov/2024:09:37:26,192.168.189.237,/checkout,200,desktop
07/Nov/2024:11:23:51,192.168.174.202,/contact,404,otros
06/Nov/2024:21:53:47,192.168.129.7,/products,200,otros
07/Nov/2024:05:05:13,192.168.236.221,/home,200,otros
07/Nov/2024:13:30:07,192.168.115.210,/cart,500,móvil
07/Nov/2024:14:10:32,192.168.37.107,/products,302,desktop
06/Nov/2024:19:02:40,192.168.114.197,/about,302,móvil
06/Nov/2024:22:25:30,192.168.89.91,/products/item,302,móvil
06/Nov/2024:22:06:11,192.168.229.79,/checkout,500,móvil
07/Nov/2024:05:44:23,192.168.109.106,/home,404,desktop
07/Nov/2024:10:02:04,192.168.51.44,/cart,200,móvil
06/Nov/2024:20:26:37,192.168.12.112,/about,404,móvil
07/Nov/2024:08:47:53,192.168.238.87,/home,404,desktop
07/Nov/2024:05:39:16,192.168.133.19,/home,302,móvil
07/Nov/2024:18:08:58,192.168.83.237,/contact,302,desktop
07/Nov/2024:12:48:39,192.168.83.110,/cart,302,otros
07/Nov/2024:02:32:39,192.168.143.234,/home,404,otros
07/Nov/2024:12:10:31,192.168.68.231,/products/item,200,otros
07/Nov/2024:10:51:24,192.168.231.175,/contact,200,otros
06/Nov/2024:23:41:15,192.168.78.65,/home,500,móvil
07/Nov/2024:02:43:35,192.168.16.106,/products,200,móvil
07/Nov/2024:07:30:11,192.168.197.205,/products,404,otros
07/Nov/2024:08:39:36,192.168.44.174,/about,404,otros
07/Nov/2024:17:30:47,192.168.107.32,/cart,302,móvil
06/Nov/2024:20:07:03,192.168.222.61,/about,404,móvil
07/Nov/2024:18:07:49,192.168.64.238,/about,404,móvil
07/Nov/2024:16:45:56,192.168.225.143,/products/item,500,otros
06/Nov/2024:22:59:41,192.168.25.191,/products,302,desktop
07/Nov/2024:15:42:48,192.168.155.35,/contact,302,otros
07/Nov/2024:08:02:06,192.168.34.18,/checkout,404,móvil
06/Nov/2024:20:31:35,192.168.105.157,/about,302,desktop
07/Nov/2024:16:31:22,192.168.62.127,/products/item,200,otros
07/Nov/2024:17:59:11,192.168.238.85,/products,200,desktop
06/Nov/2024:22:15:18,192.168.13.249,/home,404,móvil
07/Nov/2024:10:01:24,192.168.29.162,/about,500,móvil
07/Nov/2024:16:32:22,192.168.184.56,/checkout,404,desktop
07/Nov/2024:11:17:05,192.168.144.182,/cart,500,otros
07/Nov/2024:15:15:14,192.168.42.110,/home,404,otros
06/Nov/2024:20:50:33,192.168.26.115,/checkout,302,desktop
06/Nov/2024:21:47:14,192.168.51.59,/cart,500,móvil
07/Nov/2024:18:05:34,192.168.153.72,/checkout,200,desktop
07/Nov/2024:15:53:03,192.168.24.193,/contact,200,otros
06/Nov/2024:23:25:08,192.168.153.72,/about,404,desktop
07/Nov/2024:10:00:44,192.168.166.87,/cart,200,móvil
06/Nov/2024:18:41:26,192.168.93.108,/about,404,otros
06/Nov/2024:19:57:13,192.168.87.67,/cart,200,otros
06/Nov/2024:20:58:47,192.168.122.21,/contact,200,otros
07/Nov/2024:12:35:45,192.168.254.199,/products/item,500,otros
07/Nov/2024:15:43:55,192.168.231.156,/products/item,302,desktop
07/Nov/2024:04:28:13,192.168.33.6,/products,404,desktop
07/Nov/2024:05:32:41,192.168.67.120,/checkout,200,desktop
07/Nov/2024:01:21:07,192.168.89.91,/checkout,500,móvil
07/Nov/2024:01:18:49,192.168.109.82,/checkout,404,otros
06/Nov/2024:22:31:08,192.168.17.31,/home,200,desktop
06/Nov/2024:23:29:58,192.168.174.202,/products/item,302,móvil
07/Nov/2024:13:32:39,192.168.178.124,/contact,500,desktop
07/Nov/2024:17:51:47,192.168.122.137,/products/item,302,otros
07/Nov/2024:16:04:44,192.168.109.106,/contact,200,móvil
07/Nov/2024:04:25:20,192.168.197.165,/about,200,otros
07/Nov/2024:12:31:43,192.168.19.22,/home,500,móvil
06/Nov/2024:23:21:02,192.168.198.231,/products/item,404,otros
07/Nov/2024:12:25:12,192.168.171.164,/products/item,200,desktop
07/Nov/2024:16:50:40,192.168.75.24,/products,500,móvil
07/Nov/2024:05:56:16,192.168.195.233,/home,302,desktop
07/Nov/2024:13:54:23,192.168.181.22,/home,500,otros
07/Nov/2024:04:50:37,192.168.165.157,/products,302,desktop
07/Nov/2024:03:56:05,192.168.242.187,/products,302,móvil
07/Nov/2024:01:28:18,192.168.147.26,/about,404,otros
07/Nov/2024:04:26:36,192.168.237.16,/cart,500,otros
07/Nov/2024:04:45:20,192.168.19.103,/products,200,otros
07/Nov/2024:05:04:29,192.168.51.59,/about,200,móvil
07/Nov/2024:09:20:24,192.168.105.157,/products,302,otros
07/Nov/2024:14:36:23,192.168.34.18,/products,302,otros
07/Nov/2024:06:46:37,192.168.89.109,/about,404,desktop
07/Nov/2024:05:39:30,192.168.28.107,/contact,500,desktop
